Signal Legend:

Key        Signal Name

0        = data0[0..13]
1        = data0[14]
2        = data0[15]

Data Table:

Signals-> 0     1 2 

sample

-327      004Ch 0 0 
-326      004Ch 0 0 
-325      0050h 0 0 
-324      3ED9h 0 0 
-323      0050h 0 0 
-322      004Bh 0 0 
-321      005Bh 0 0 
-320      3EF0h 0 0 
-319      004Eh 0 0 
-318      004Eh 0 0 
-317      0052h 0 0 
-316      3ECCh 0 0 
-315      004Eh 0 0 
-314      004Ch 0 0 
-313      0051h 0 0 
-312      3EEFh 0 0 
-311      004Eh 0 0 
-310      004Eh 0 0 
-309      0052h 0 0 
-308      3EDBh 0 0 
-307      004Eh 0 0 
-306      004Ch 0 0 
-305      0051h 0 0 
-304      3EF3h 0 0 
-303      004Dh 0 0 
-302      004Fh 0 0 
-301      004Eh 0 0 
-300      3F5Ch 0 0 
-299      004Dh 0 0 
-298      004Fh 0 0 
-297      0052h 0 0 
-296      3F11h 0 0 
-295      004Eh 0 0 
-294      004Ch 0 0 
-293      0051h 0 0 
-292      3EEDh 0 0 
-291      004Dh 0 0 
-290      004Ch 0 0 
-289      004Fh 0 0 
-288      3EDCh 0 0 
-287      004Eh 0 0 
-286      004Dh 0 0 
-285      004Bh 0 0 
-284      3ECEh 0 0 
-283      004Dh 0 0 
-282      004Eh 0 0 
-281      0051h 0 0 
-280      3EDAh 0 0 
-279      004Eh 0 0 
-278      0050h 0 0 
-277      0050h 0 0 
-276      3EDCh 0 0 
-275      004Ch 0 0 
-274      004Ch 0 0 
-273      0047h 0 0 
-272      3EE1h 0 0 
-271      0051h 0 0 
-270      004Dh 0 0 
-269      0053h 0 0 
-268      3ED9h 0 0 
-267      004Eh 0 0 
-266      004Bh 0 0 
-265      0053h 0 0 
-264      3EC8h 0 0 
-263      004Ch 0 0 
-262      004Eh 0 0 
-261      004Dh 0 0 
-260      3EE2h 0 0 
-259      004Eh 0 0 
-258      004Dh 0 0 
-257      0054h 0 0 
-256      3EF8h 0 0 
-255      0051h 0 0 
-254      004Eh 0 0 
-253      0051h 0 0 
-252      3EE5h 0 0 
-251      004Dh 0 0 
-250      004Dh 0 0 
-249      0052h 0 0 
-248      3EDBh 0 0 
-247      004Dh 0 0 
-246      004Eh 0 0 
-245      0051h 0 0 
-244      3ED3h 0 0 
-243      004Dh 0 0 
-242      0047h 0 0 
-241      0052h 0 0 
-240      3EE0h 0 0 
-239      004Eh 0 0 
-238      004Ah 0 0 
-237      004Fh 0 0 
-236      3EE4h 0 0 
-235      004Dh 0 0 
-234      004Fh 0 0 
-233      0050h 0 0 
-232      3EE5h 0 0 
-231      004Ch 0 0 
-230      004Ch 0 0 
-229      004Bh 0 0 
-228      3EE2h 0 0 
-227      004Eh 0 0 
-226      004Dh 0 0 
-225      0051h 0 0 
-224      3EE0h 0 0 
-223      004Ch 0 0 
-222      004Ch 0 0 
-221      0051h 0 0 
-220      3EDFh 0 0 
-219      004Dh 0 0 
-218      004Dh 0 0 
-217      0053h 0 0 
-216      3EDDh 0 0 
-215      0052h 0 0 
-214      004Ch 0 0 
-213      005Eh 0 0 
-212      3F02h 0 0 
-211      0054h 0 0 
-210      004Fh 0 0 
-209      004Eh 0 0 
-208      3EB9h 0 0 
-207      004Eh 0 0 
-206      004Eh 0 0 
-205      0054h 0 0 
-204      3EE1h 0 0 
-203      004Eh 0 0 
-202      004Ch 0 0 
-201      004Ah 0 0 
-200      3EC2h 0 0 
-199      004Dh 0 0 
-198      004Ch 0 0 
-197      0051h 0 0 
-196      3ED7h 0 0 
-195      0053h 0 0 
-194      0050h 0 0 
-193      0051h 0 0 
-192      3EDAh 0 0 
-191      004Fh 0 0 
-190      004Ch 0 0 
-189      0051h 0 0 
-188      3EEDh 0 0 
-187      004Fh 0 0 
-186      004Eh 0 0 
-185      0053h 0 0 
-184      3EDFh 0 0 
-183      004Fh 0 0 
-182      004Eh 0 0 
-181      0051h 0 0 
-180      3EDFh 0 0 
-179      004Ch 0 0 
